fdate,order_date,airline,class,subclass,prc
2017-12-08,2017-09-05,DL,Y,U,5484.0
2017-12-08,2017-09-26,DL,Y,U,5375.0
2017-12-08,2017-09-06,DL,Y,V,3138.0
2017-12-08,2017-09-12,DL,Y,V,3546.0
2017-12-08,2017-09-16,DL,Y,V,3857.0
2017-12-08,2017-09-22,DL,Y,V,5612.0
2017-12-08,2017-11-14,DL,Y,V,3661.0
2017-12-08,2017-08-24,DL,Y,X,5072.0
2017-12-08,2017-09-01,DL,Y,X,5188.0
2017-12-08,2017-09-20,DL,Y,X,5205.0
2017-12-08,2017-10-10,DL,Y,X,2450.0
2017-12-08,2017-10-13,DL,Y,X,4095.0
2017-12-08,2017-10-16,DL,Y,X,2355.0
2017-12-08,2017-11-14,DL,Y,X,1391.0
2017-12-08,2017-12-05,DL,Y,X,2207.0
2017-12-08,2017-12-06,DL,Y,X,2207.0
2017-12-08,2017-09-14,MU,C,I,14709.0
2017-12-08,2017-10-17,MU,C,I,18596.0
2017-12-08,2017-10-31,MU,C,I,19523.0
2017-12-08,2017-11-07,MU,C,I,34943.0
2017-12-08,2017-11-25,MU,C,I,14696.0
2017-12-08,2017-12-06,MU,C,I,1020.0
